"LEVEES
DE FONDS",DATE,"LIEN VERS
ANNUAIRE","LIEN VERS SITE
INTERNET"
LUCKYLOC lève 300 000 euros auprès d’investisseurs,01/07/2013,LUCKYLOC,LUCKYLOC
"SOJEANS lève 7 millions d’euros auprès de ENTREPRENEUR VENTUREVENTECH, 360 CAPITAL",01/07/2013,SOJEANS,SOJEANS
DIPLOMEO lève 500 000 euros auprès de BUSINESS ANGELS,01/07/2013,DIPLOMEO,DIPLOMEO
NADRA TECHNOLOGIES lève 450 000 euros auprès d’investisseurs,01/07/2013,NADRA TECHNOLOGIES,NADRA TECHNOLOGIES
"LILY LISTE lève des fonds auprès de FEMMES BUSINESS ANGELS, INVESTESSOR",01/07/2013,LILY LISTE,LILY LISTE
"PATHOQUEST lève 3,8 millions d’euros auprès d’investisseurs",01/07/2013,PATHOQUEST,PATHOQUEST
"TV SHOW TIME lève 500 000 euros auprès de BUSINESS ANGELS, KIMA VENTURES",01/07/2013,TV SHOW TIME,TV SHOW TIME
MAILFORGOOD lève 1 million d’euros auprès d’investisseurs,01/07/2013,MAILFORGOOD,MAILFORGOOD
SCALITY lève 22 millions d’euros auprès d’investisseurs,01/07/2013,SCALITY,SCALITY
BONJOURBONJOUR lève 650 000 euros auprès de BUSINESS ANGELS,01/07/2013,BONJOURBONJOUR,BONJOURBONJOUR
HOLOSFIND lève 450 000 euros auprès d’investisseurs,01/07/2013,HOLOSFIND,
RENDEZ VOUS DECO lève 500 000 euros auprès de BUSINESS ANGELS,01/07/2013,RENDEZ VOUS DECO,RENDEZ VOUS DECO
123VENTURE lève 175 millions d’euros auprès d’investisseurs,01/07/2013,123VENTURE,123VENTURE
NEWMANITY lève 635 000 euros auprès de BUSINESS ANGELS,01/07/2013,NEWMANITY,NEWMANITY
GALLIA lève des fonds auprès d’investisseurs,01/07/2013,GALLIA,
"ITYZ lève 1,4 million d’euros auprès d’investisseurs",01/07/2013,ITYZ,ITYZ
CLIC AND WALK lève 750 000 euros auprès de BREEGA CAPITAL,01/07/2013,CLIC AND WALK,CLIC AND WALK
ENOVANCE lève 6 millions d’euros auprès d’investisseurs,01/07/2013,ENOVANCE,ENOVANCE
JOBAROUNDME.FR lève des fonds en media for equity auprès de 5M VENTURES,01/07/2013,JOBAROUNDME.FR,JOBAROUNDME.FR
"YOUBOOX lève 530 000 euros auprès de BUSINESS ANGELS, 5M VENTURES",01/07/2013,YOUBOOX,YOUBOOX
YOUBOOX lève des fonds en media for equity auprès de 5M VENTURES,01/07/2013,YOUBOOX,YOUBOOX
ADMOOVE lève 360 000 euros auprès d’investisseurs,01/07/2013,ADMOOVE,ADMOOVE
EXPERNOVA lève 300 000 euros auprès de BUSINESS ANGELS,01/07/2013,EXPERNOVA,EXPERNOVA
ARGONAUTES lève 900 000 euros auprès d’investisseurs,01/07/2013,ARGONAUTES,ARGONAUTES
FRETBAY lève 430 000 euros auprès de STARQUEST,01/07/2013,FRETBAY,FRETBAY
GLOBAL BIOENERGIES lève 23 millions d’euros auprès de OSEO,01/07/2013,GLOBAL BIOENERGIES,GLOBAL BIOENERGIES
MON AMPHI lève des fonds auprès de BUSINESS ANGELS,01/07/2013,MON AMPHI,MON AMPHI
"PRODWARE lève 5,46 millions d’euros auprès de A PLUS FINANCE",01/07/2013,PRODWARE,PRODWARE
"SUNPARTNER lève 2,1 millions d’euros auprès d’investisseurs",01/07/2013,SUNPARTNER,SUNPARTNER
VIDCOIN lève des fonds auprès de KIMA VENTURES,01/07/2013,VIDCOIN,VIDCOIN
"LUCIBEL lève 1,5 million d’euros auprès de BUSINESS ANGELS",01/06/2013,LUCIBEL,LUCIBEL
MARKETO lève 5 millions d’euros auprès d’investisseurs,01/06/2013,MARKETO,MARKETO
MONDE CAFES lève 60 000 euros auprès de BUSINESS ANGELS,01/06/2013,MONDE CAFES,MONDE CAFES
LIVEMENTOR – HELLO MENTOR – LEARNING SHELTER lève 200 000 euros auprès de BUSINESS ANGELS,01/06/2013,LIVEMENTOR – HELLO MENTOR – LEARNING SHELTER,LIVEMENTOR – HELLO MENTOR – LEARNING SHELTER
"BIBA.COM lève 11,5 millions d’euros auprès d’investisseurs",01/06/2013,BIBA.COM,BIBA.COM
CINEMUR lève 2 millions d’euros auprès de BUSINESS ANGELS,01/06/2013,CINEMUR,CINEMUR
CITEGREEN lève 650 000 euros auprès de CDC,01/06/2013,CITEGREEN,CITEGREEN
"DIGISCHOOL lève 3 millions d’euros auprès de BUSINESS ANGELS, ALTO INVEST, TURENNE CAPITAL",01/06/2013,DIGISCHOOL,DIGISCHOOL
AJ STAGE lève des fonds auprès de BUSINESS ANGELS,01/06/2013,AJ STAGE,AJ STAGE
ENTROPIC SYNERGIES lève 100 000 euros auprès d’investisseurs,01/06/2013,ENTROPIC SYNERGIES,ENTROPIC SYNERGIES
FIDBACKS lève 200 000 euros auprès de BUSINESS ANGELS,01/06/2013,FIDBACKS,FIDBACKS
"PRINTIC lève des fonds auprès de BUSINESS ANGELS, L’ACCELERATEUR",01/06/2013,PRINTIC,PRINTIC
KITCHEN TROTTER lève des fonds auprès de PETIT POUCET50 PARTNERS,01/06/2013,KITCHEN TROTTER,KITCHEN TROTTER
KITCHEN TROTTER lève des fonds en media for equity auprès de L’EXPRESS VENTURES,01/06/2013,KITCHEN TROTTER,KITCHEN TROTTER
"CAPITAINE TRAIN lève 2,5 millions d’euros auprès de BUSINESS ANGELS, ALVEN",01/06/2013,CAPITAINE TRAIN,CAPITAINE TRAIN
CHEQUE IMMO lève 275 000 euros auprès de BUSINESS ANGELS,01/06/2013,CHEQUE IMMO,CHEQUE IMMO
MARCO VASCO lève 15 millions d’euros auprès de IRIS CAPITAL,01/06/2013,MARCO VASCO,MARCO VASCO
PREEZM lève 300 000 euros auprès de BUSINESS ANGELS,01/06/2013,PREEZM,PREEZM
"SEJOURNING lève 400 000 euros auprès de BUSINESS ANGELS, POLE CAPITAL",01/06/2013,SEJOURNING,SEJOURNING
SOLAIREDIRECT lève 156 millions d’euros auprès de TECHFUND,01/06/2013,SOLAIREDIRECT,SOLAIREDIRECT
GUTCHEK lève 3 millions d’euros auprès d’investisseurs,01/06/2013,GUTCHEK,GUTCHEK
SUNITED GROUP lève 500 000 euros auprès de ANAXAGO,01/06/2013,SUNITED GROUP,SUNITED GROUP
"BTRAVEL lève 400 000 euros auprès de POLE CAPITAL, FINORPA",01/06/2013,BTRAVEL,BTRAVEL
MODIZY lève 210 000 euros auprès de BUSINESS ANGELS,01/06/2013,MODIZY,MODIZY
"SHOPTIMISE lève 1 million d’euros auprès de BUSINESS ANGELS, BPIFRANCE",01/06/2013,SHOPTIMISE,SHOPTIMISE
VIAREPORT lève 1 million d’euros auprès d’investisseurs,01/06/2013,VIAREPORT,VIAREPORT
MINILOGS lève 200 000 euros auprès d’investisseurs,01/06/2013,MINILOGS,MINILOGS
PERFECT MEMORY lève 600 000 euros auprès de SOFIMAC,01/06/2013,PERFECT MEMORY,PERFECT MEMORY
VIGIMILIA lève 200 000 euros auprès de OSEO,01/06/2013,VIGIMILIA,VIGIMILIA
"AT INTERNET lève 6,25 millions d’euros auprès d’investisseurs",01/06/2013,AT INTERNET,AT INTERNET
COOGEE DATA lève 220 000 euros auprès de BUSINESS ANGELS,01/06/2013,COOGEE DATA,COOGEE DATA
"FASTLY lève 7,6 millions d’euros auprès d’investisseurs",01/06/2013,FASTLY,
"NETATMO lève 4,5 millions d’euros auprès de BUSINESS ANGELS, FSN PME, IRIS CAPITAL",01/06/2013,NETATMO,NETATMO
"GEMMYO lève 3,1 millions d’euros auprès de BUSINESS ANGELS, ALVEN",01/06/2013,GEMMYO,GEMMYO
"WOCHIT lève 3,6 millions d’euros auprès d’investisseurs",01/06/2013,WOCHIT,
YPLAN lève 9 millions d’euros auprès d’investisseurs,01/06/2013,YPLAN,
"SHOPMIUM lève 4,3 millions d’euros auprès de ACCEL, VENTECH, ISAI",01/06/2013,SHOPMIUM,SHOPMIUM
"SUNRISE lève 1,7 million d’euros auprès de BUSINESS ANGELS",01/06/2013,SUNRISE,SUNRISE
"FIDZUP lève 300 000 euros auprès de IT ANGELS, VAL’ ANGELS, NOVARIS EQUITY, DAUPHINE ANGELS, INVESTESSOR, FRCIPETIT POUCET",01/06/2013,FIDZUP,FIDZUP
ABRICO lève 500 000 euros auprès d’investisseurs,01/06/2013,ABRICO,ABRICO
"ACCUWATT lève 1,32 million d’euros auprès d’investisseurs",01/06/2013,ACCUWATT,ACCUWATT
ACTIVEEON lève 150 000 euros auprès de PACA INVESTISSEMENT,01/06/2013,ACTIVEEON,ACTIVEEON
"AD VALEM TECHNOLOGIES lève 6,5 millions d’euros auprès d’investisseurs",01/06/2013,AD VALEM TECHNOLOGIES,AD VALEM TECHNOLOGIES
ADDICT2SPORT lève 150 000 euros auprès de BUSINESS ANGELS,01/06/2013,ADDICT2SPORT,ADDICT2SPORT
"ADVANCED ACCELERATOR APPLICATIONS lève 4,8 millions d’euros auprès de BUSINESS ANGELS",01/06/2013,ADVANCED ACCELERATOR APPLICATIONS,ADVANCED ACCELERATOR APPLICATIONS
AGORIZE – STUDYKA lève des fonds auprès d’investisseurs,01/06/2013,AGORIZE – STUDYKA,AGORIZE – STUDYKA
ALLECRA THERAPEUTICS lève 15 millions d’euros auprès d’investisseurs,01/06/2013,ALLECRA THERAPEUTICS,
ALMAVIVA SANTE lève 40 millions d’euros auprès d’investisseurs,01/06/2013,ALMAVIVA SANTE,ALMAVIVA SANTE
ALPWISE lève 750 000 euros auprès d’investisseurs,01/06/2013,ALPWISE,ALPWISE
AMI SOFTWARE lève des fonds auprès d’investisseurs,01/06/2013,AMI SOFTWARE,AMI SOFTWARE
"AXESS VISION TECHNOLOGY lève 3,5 millions d’euros auprès d’investisseurs",01/06/2013,AXESS VISION TECHNOLOGY,AXESS VISION TECHNOLOGY
AXILUM ROBOTICS lève 850 000 euros auprès d’investisseurs,01/06/2013,AXILUM ROBOTICS,AXILUM ROBOTICS
AZIMUT MONITORING lève 430 000 euros auprès de BUSINESS ANGELS,01/06/2013,AZIMUT MONITORING,AZIMUT MONITORING
BIO & CO lève 1 million d’euros auprès d’investisseurs,01/06/2013,BIO & CO,
"BIOSIMS TECHNOLOGIES lève 1,1 million d’euros auprès d’investisseurs",01/06/2013,BIOSIMS TECHNOLOGIES,BIOSIMS TECHNOLOGIES
BLUE MIND lève 300 000 euros auprès de BUSINESS ANGELS,01/06/2013,BLUE MIND,BLUE MIND
BOB EL WEB lève des fonds auprès de ALIVE IDEAS,01/06/2013,BOB EL WEB,BOB EL WEB
BODYCAP lève 400 000 euros auprès d’investisseurs,01/06/2013,BODYCAP,BODYCAP
"BSE ELECTRONIC lève 1 million d’euros auprès de BNP PARIBAS, FSI",01/06/2013,BSE ELECTRONIC,BSE ELECTRONIC
"CAVISKILLS lève 1,2 million d’euros auprès d’investisseurs",01/06/2013,CAVISKILLS,
"CELLPROTHERA lève 2,54 millions d’euros auprès d’investisseurs",01/06/2013,CELLPROTHERA,CELLPROTHERA
CHEVAL-SHOP.COM – CCGB lève 1 million d’euros auprès d’investisseurs,01/06/2013,CHEVAL-SHOP.COM – CCGB,CHEVAL-SHOP.COM – CCGB
CITY CAKE lève 400 000 euros auprès de BUSINESS ANGELS,01/06/2013,CITY CAKE,CITY CAKE
CITYGOO lève 440 000 euros auprès de MAVIGOK,01/06/2013,CITYGOO,CITYGOO
CLIP INDUSTRIE lève des fonds auprès d’investisseurs,01/06/2013,CLIP INDUSTRIE,CLIP INDUSTRIE
"COLDWAY lève 9,3 millions d’euros auprès d’investisseurs",01/06/2013,COLDWAY,COLDWAY
COMPARECYCLE lève des fonds auprès de BUSINESS ANGELS,01/06/2013,COMPARECYCLE,COMPARECYCLE
COOLTECH lève 8 millions d’euros auprès de BUSINESS ANGELS,01/06/2013,COOLTECH,COOLTECH
CREACARD lève 3 millions d’euros auprès d’investisseurs,01/06/2013,CREACARD,
CROCUS TECHNOLOGY lève 34 millions d’euros auprès d’investisseurs,01/06/2013,CROCUS TECHNOLOGY,CROCUS TECHNOLOGY
"CROSSJECT lève 4,6 millions d’euros auprès d’investisseurs",01/06/2013,CROSSJECT,CROSSJECT
"DEEPCLASS lève 3,96 millions d’euros auprès de BUSINESS ANGELS",01/06/2013,DEEPCLASS,DEEPCLASS
DIVA CLOUD lève 100 000 euros auprès d’investisseurs,01/06/2013,DIVA CLOUD,DIVA CLOUD
EACH OTHER lève des fonds auprès d’investisseurs,01/06/2013,EACH OTHER,
"EAR-WELL lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,EAR-WELL,
ECOPRESTO lève 300 000 euros auprès d’investisseurs,01/06/2013,ECOPRESTO,ECOPRESTO
"ECOSLOPS lève 1,9 million d’euros auprès d’investisseurs",01/06/2013,ECOSLOPS,ECOSLOPS
EGR RENOVATION lève 5 millions d’euros auprès d’investisseurs,01/06/2013,EGR RENOVATION,EGR RENOVATION
"ELSALYS BIOTECH lève 2,1 millions d’euros auprès de TRANSGENE",01/06/2013,ELSALYS BIOTECH,
ENTREPRENEURS IN EMERGING MARKETS lève 1 800 euros auprès d’investisseurs,01/06/2013,ENTREPRENEURS IN EMERGING MARKETS,
EOS INNOVATION lève 200 000 euros auprès d’investisseurs,01/06/2013,EOS INNOVATION,EOS INNOVATION
"EPSILINE lève 1,3 million d’euros auprès d’investisseurs",01/06/2013,EPSILINE,EPSILINE
EUREKAM lève 500 000 euros auprès d’investisseurs,01/06/2013,EUREKAM,
EXEM lève 400 000 euros auprès de BUSINESS ANGELS,01/06/2013,EXEM,EXEM
EYDO PHARMA lève des fonds auprès d’investisseurs,01/06/2013,EYDO PHARMA,
EYE TECH CARE lève 10 millions d’euros auprès d’investisseurs,01/06/2013,EYE TECH CARE,EYE TECH CARE
EYEVENSYS lève des fonds auprès d’investisseurs,01/06/2013,EYEVENSYS,EYEVENSYS
FABSHOP lève 320 000 euros auprès de BUSINESS ANGELS,01/06/2013,FABSHOP,FABSHOP
FERMENTALG lève 12 millions d’euros auprès d’investisseurs,01/06/2013,FERMENTALG,FERMENTALG
FINE-HEART lève des fonds auprès d’investisseurs,01/06/2013,FINE-HEART,FINE-HEART
FLUOPTICS lève 2 millions d’euros auprès d’investisseurs,01/06/2013,FLUOPTICS,FLUOPTICS
FLY-N-SENSE lève 900 000 euros auprès de BUSINESS ANGELS,01/06/2013,FLY-N-SENSE,FLY-N-SENSE
FONTYOU lève des fonds auprès de BUSINESS ANGELS,01/06/2013,FONTYOU,FONTYOU
FORGETBOX lève 460 000 euros auprès de CROWDFUNDING,01/06/2013,FORGETBOX,FORGETBOX
FORMAGRAPH lève 700 000 euros auprès d’investisseurs,01/06/2013,FORMAGRAPH,FORMAGRAPH
FORSEE POWER lève des fonds auprès d’investisseurs,01/06/2013,FORSEE POWER,FORSEE POWER
FULLSAVE lève 700 000 euros auprès de BUSINESS ANGELS,01/06/2013,FULLSAVE,FULLSAVE
"GAMAMABS PHARMA lève 3,1 millions d’euros auprès de BPIFRANCE",01/06/2013,GAMAMABS PHARMA,GAMAMABS PHARMA
GOURMANDES & CIE lève 100 000 euros auprès d’investisseurs,01/06/2013,GOURMANDES & CIE,
GREEN COMMUNICATIONS lève 600 000 euros auprès d’investisseurs,01/06/2013,GREEN COMMUNICATIONS,GREEN COMMUNICATIONS
GREENLEAF lève 150 000 euros auprès d’investisseurs,01/06/2013,GREENLEAF,GREENLEAF
HP BIOTECH lève des fonds auprès d’investisseurs,01/06/2013,HP BIOTECH,HP BIOTECH
HULL lève des fonds auprès de TECHSTARS,01/06/2013,HULL,HULL
IDD BIOTECH lève des fonds auprès de BUSINESS ANGELS,01/06/2013,IDD BIOTECH,
IDENUM lève 2 millions d’euros auprès d’investisseurs,01/06/2013,IDENUM,
IDEOL lève 7 millions d’euros auprès de PACA INVESTISSEMENT,01/06/2013,IDEOL,IDEOL
"IJENKO lève 3,7 millions d’euros auprès d’investisseurs",01/06/2013,IJENKO,IJENKO
"IMMUNOSEARCH lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,IMMUNOSEARCH,IMMUNOSEARCH
INDATECH lève 600 000 euros auprès d’investisseurs,01/06/2013,INDATECH,INDATECH
"INNATE PHARMA lève 20,3 millions d’euros auprès de QVT FINANCIAL",01/06/2013,INNATE PHARMA,INNATE PHARMA
INNES.PRO lève 1 million d’euros auprès d’investisseurs,01/06/2013,INNES.PRO,INNES.PRO
INNOVI lève 750 000 euros auprès d’investisseurs,01/06/2013,INNOVI,
INTERCLOUD lève 500 000 euros auprès de RIVERBED TECHNOLOGY,01/06/2013,INTERCLOUD,INTERCLOUD
KALRAY lève 5 millions d’euros auprès de BUSINESS ANGELS,01/06/2013,KALRAY,KALRAY
KEECKER lève 270 000 euros auprès de BUSINESS ANGELS,01/06/2013,KEECKER,KEECKER
"KERENSEN CONSULTING lève 2,5 millions d’euros auprès d’investisseurs",01/06/2013,KERENSEN CONSULTING,KERENSEN CONSULTING
KINAXIA lève 150 000 euros auprès de BUSINESS ANGELS,01/06/2013,KINAXIA,KINAXIA
"KODE SOFTWARE lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,KODE SOFTWARE,KODE SOFTWARE
KREALINKS lève 411 000 euros auprès d’investisseurs,01/06/2013,KREALINKS,KREALINKS
KREDITY lève des fonds auprès d’investisseurs,01/06/2013,KREDITY,
KRONO SAFE lève 830 000 euros auprès d’investisseurs,01/06/2013,KRONO SAFE,KRONO SAFE
KYLII MOTION lève 1 million d’euros auprès d’investisseurs,01/06/2013,KYLII MOTION,KYLII MOTION
"LA BELLE ASSIETTE lève 450 000 euros auprès de BUSINESS ANGELS, KIMA VENTURES",01/06/2013,LA BELLE ASSIETTE,LA BELLE ASSIETTE
LASCOM lève 650 000 euros auprès d’investisseurs,01/06/2013,LASCOM,LASCOM
"LE COMPARATEUR ASSURANCE – PIXEO lève des fonds auprès de AURINVEST, GENERIS CAPITAL, FINORPA",01/06/2013,LE COMPARATEUR ASSURANCE – PIXEO,LE COMPARATEUR ASSURANCE – PIXEO
LEVISYS lève 1 million d’euros auprès d’investisseurs,01/06/2013,LEVISYS,LEVISYS
L’IDEALIST lève 472 500 euros auprès de BUSINESS ANGELS,01/06/2013,L’IDEALIST,L’IDEALIST
"LINEAZEN lève 1,2 million d’euros auprès de BUSINESS ANGELS",01/06/2013,LINEAZEN,LINEAZEN
LOCALISMARKET – ORION NETWORK lève 100 000 euros auprès de BUSINESS ANGELS,01/06/2013,LOCALISMARKET – ORION NETWORK,LOCALISMARKET – ORION NETWORK
LOVE & GREEN lève 1 million d’euros auprès de BUSINESS ANGELS,01/06/2013,LOVE & GREEN,
"LUMNEX lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,LUMNEX,LUMNEX
LYAMTECH lève 2 millions d’euros auprès d’investisseurs,01/06/2013,LYAMTECH,
MASPATULE lève 400 000 euros auprès d’investisseurs,01/06/2013,MASPATULE,MASPATULE
MCPHY ENERGY lève 10 millions d’euros auprès d’investisseurs,01/06/2013,MCPHY ENERGY,MCPHY ENERGY
"MDOLORIS lève 1,1 million d’euros auprès d’investisseurs",01/06/2013,MDOLORIS,MDOLORIS
"MEDICAL DEVICE WORKS lève 2,5 millions d’euros auprès d’investisseurs",01/06/2013,MEDICAL DEVICE WORKS,
"MILIBOO lève 4 millions d’euros auprès de AURIGA, SIGMA, NAXICAP",01/06/2013,MILIBOO,MILIBOO
MOOVILLE BY MUSES lève 1 million d’euros auprès de BUSINESS ANGELS,01/06/2013,MOOVILLE BY MUSES,MOOVILLE BY MUSES
MOTWIN lève 2 millions d’euros auprès d’investisseurs,01/06/2013,MOTWIN,MOTWIN
MY COACH FOOT lève 600 000 euros auprès d’investisseurs,01/06/2013,MY COACH FOOT,MY COACH FOOT
MYPHOTOAGENCY lève 300 000 euros auprès de BUSINESS ANGELS,01/06/2013,MYPHOTOAGENCY,MYPHOTOAGENCY
MYQAA lève des fonds auprès d’investisseurs,01/06/2013,MYQAA,MYQAA
"NANOBIOTIX lève 3,24 millions d’euros auprès d’investisseurs",01/06/2013,NANOBIOTIX,NANOBIOTIX
NANOE lève 700 000 euros auprès de BUSINESS ANGELS,01/06/2013,NANOE,NANOE
NAVENDIS lève 100 000 euros auprès d’investisseurs,01/06/2013,NAVENDIS,NAVENDIS
"NEC-K lève 1,4 million d’euros auprès d’investisseurs",01/06/2013,NEC-K,
"NEELOGY lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,NEELOGY,NEELOGY
NEURONAX lève 900 000 euros auprès d’investisseurs,01/06/2013,NEURONAX,NEURONAX
"NEXESS lève 2,5 millions d’euros auprès d’investisseurs",01/06/2013,NEXESS,NEXESS
"NOTEO SOLUTIONS lève 1,35 million d’euros auprès d’investisseurs",01/06/2013,NOTEO SOLUTIONS,NOTEO SOLUTIONS
NOTOX lève des fonds auprès d’investisseurs,01/06/2013,NOTOX,NOTOX
NOVANANO lève 300 000 euros auprès de BUSINESS ANGELS,01/06/2013,NOVANANO,NOVANANO
NOVAWATT lève 3 millions d’euros auprès d’investisseurs,01/06/2013,NOVAWATT,NOVAWATT
ONCOVET CLINICAL lève 730 000 euros auprès d’investisseurs,01/06/2013,ONCOVET CLINICAL,ONCOVET CLINICAL
OOSEARCH lève des fonds auprès d’investisseurs,01/06/2013,OOSEARCH,
OPTINVENT lève des fonds auprès de BUSINESS ANGELS,01/06/2013,OPTINVENT,OPTINVENT
OWINGO lève 2 000 euros auprès d’investisseurs,01/06/2013,OWINGO,OWINGO
PEGASTECH lève 50 000 euros auprès d’investisseurs,01/06/2013,PEGASTECH,PEGASTECH
PIXEO lève des fonds auprès d’investisseurs,01/06/2013,PIXEO,
POPLIDAYS lève 2 millions d’euros auprès de CREDIT AGRICOLE,01/06/2013,POPLIDAYS,POPLIDAYS
QUERTECH lève 1 million d’euros auprès d’investisseurs,01/06/2013,QUERTECH,QUERTECH
QUNB lève des fonds auprès d’investisseurs,01/06/2013,QUNB,QUNB
R & DRONE lève des fonds auprès d’investisseurs,01/06/2013,R & DRONE,R & DRONE
"RAD.CO lève 2,5 millions d’euros auprès de BUSINESS ANGELS, INDEX VENTURES",01/06/2013,RAD.CO,RAD.CO
REFLEX TRAINING lève 400 000 euros auprès d’investisseurs,01/06/2013,REFLEX TRAINING,REFLEX TRAINING
REPCCAP lève 500 000 euros auprès d’investisseurs,01/06/2013,REPCCAP,
REVSTR.IO lève 36 000 euros auprès d’investisseurs,01/06/2013,REVSTR.IO,REVSTR.IO
ROBOCATH lève 900 000 euros auprès d’investisseurs,01/06/2013,ROBOCATH,ROBOCATH
ROBOTIQUES 3D – RB3D lève 2 millions d’euros auprès d’investisseurs,01/06/2013,ROBOTIQUES 3D – RB3D,ROBOTIQUES 3D – RB3D
SAVEURS ET VIE lève des fonds auprès d’investisseurs,01/06/2013,SAVEURS ET VIE,
SECURIVIEW lève des fonds auprès d’investisseurs,01/06/2013,SECURIVIEW,SECURIVIEW
SENSORION PHARMA lève 2 millions d’euros auprès d’investisseurs,01/06/2013,SENSORION PHARMA,SENSORION PHARMA
SETUBIO lève 1 million d’euros auprès de BUSINESS ANGELS,01/06/2013,SETUBIO,SETUBIO
SHARALIKE lève 450 000 euros auprès de BUSINESS ANGELS,01/06/2013,SHARALIKE,SHARALIKE
SKOPEO lève 200 000 euros auprès d’investisseurs,01/06/2013,SKOPEO,SKOPEO
SMA DIFFUSION lève 500 000 euros auprès d’investisseurs,01/06/2013,SMA DIFFUSION,
SOCCER PARK lève 1 million d’euros auprès d’investisseurs,01/06/2013,SOCCER PARK,
SOFINNOVA PARTNERS lève 8 millions d’euros auprès d’investisseurs,01/06/2013,SOFINNOVA PARTNERS,SOFINNOVA PARTNERS
"SOGEMED lève 1,5 million d’euros auprès d’investisseurs",01/06/2013,SOGEMED,SOGEMED
SOLAR GAMES lève 150 000 euros auprès d’investisseurs,01/06/2013,SOLAR GAMES,SOLAR GAMES
SPARK RACING TECHNOLOGY lève 10 millions d’euros auprès d’investisseurs,01/06/2013,SPARK RACING TECHNOLOGY,
SPINEVISION lève 10 millions d’euros auprès d’investisseurs,01/06/2013,SPINEVISION,
SPY-COMMERCE lève des fonds auprès de BUSINESS ANGELS,01/06/2013,SPY-COMMERCE,SPY-COMMERCE
"SQUORING TECHNOLOGIES lève 1,05 million d’euros auprès de BUSINESS ANGELS, MIDI CAPITAL",01/06/2013,SQUORING TECHNOLOGIES,SQUORING TECHNOLOGIES
STEREOLABS lève des fonds auprès d’investisseurs,01/06/2013,STEREOLABS,STEREOLABS
SURGICAL PERSPECTIVES lève 1 million d’euros auprès d’investisseurs,01/06/2013,SURGICAL PERSPECTIVES,
SYNTHELIS lève 610 000 euros auprès de BUSINESS ANGELS,01/06/2013,SYNTHELIS,SYNTHELIS
TAIGA lève 400 000 euros auprès de BUSINESS ANGELS,01/06/2013,TAIGA,TAIGA
"TALENTORY lève 1,53 million d’euros auprès de BUSINESS ANGELS",01/06/2013,TALENTORY,TALENTORY
TALENTPLUG lève 460 000 euros auprès d’investisseurs,01/06/2013,TALENTPLUG,TALENTPLUG
TEAMTO lève des fonds auprès d’investisseurs,01/06/2013,TEAMTO,TEAMTO
"TERRA NOVA lève 4,2 millions d’euros auprès d’investisseurs",01/06/2013,TERRA NOVA,TERRA NOVA
TERRAKIT lève 110 000 euros auprès d’investisseurs,01/06/2013,TERRAKIT,
"THE GREEN LINK lève 1,3 million d’euros auprès de BUSINESS ANGELS",01/06/2013,THE GREEN LINK,THE GREEN LINK
TIKOPIA lève 830 000 euros auprès d’investisseurs,01/06/2013,TIKOPIA,
TMW TECHNOLOGIES lève des fonds auprès d’investisseurs,01/06/2013,TMW TECHNOLOGIES,TMW TECHNOLOGIES
"TOMMY’S DINER lève 4,6 millions d’euros auprès de BPIFRANCE",01/06/2013,TOMMY’S DINER,
TOOFRUIT lève 400 000 euros auprès de BUSINESS ANGELS,01/06/2013,TOOFRUIT,TOOFRUIT
"TRAINING ORCHESTRA lève 2,5 millions d’euros auprès de A PLUS FINANCE",01/06/2013,TRAINING ORCHESTRA,TRAINING ORCHESTRA
TRANSINDEMNITE.COM lève des fonds auprès de BUSINESS ANGELS,01/06/2013,TRANSINDEMNITE.COM,TRANSINDEMNITE.COM
TRENDY DRINK lève 280 000 euros auprès de BUSINESS ANGELS,01/06/2013,TRENDY DRINK,TRENDY DRINK
TRIADE INDUSTRIE lève 500 000 euros auprès d’investisseurs,01/06/2013,TRIADE INDUSTRIE,
TRIBWAY lève 250 000 euros auprès de FUNDME,01/06/2013,TRIBWAY,TRIBWAY
"TROD MEDICAL lève 4,8 millions d’euros auprès de GEMMA FRISIUS FONDS",01/06/2013,TROD MEDICAL,TROD MEDICAL
ULTEO lève 500 000 euros auprès de BUSINESS ANGELS,01/06/2013,ULTEO,ULTEO
VACTEC lève 450 000 euros auprès d’investisseurs,01/06/2013,VACTEC,VACTEC
"VALNEVA lève 40,2 millions d’euros auprès d’investisseurs",01/06/2013,VALNEVA,VALNEVA
VARIAPOWER lève 500 000 euros auprès d’investisseurs,01/06/2013,VARIAPOWER,VARIAPOWER
VECTRAWAVE lève 1 million d’euros auprès d’investisseurs,01/06/2013,VECTRAWAVE,VECTRAWAVE
VETBIOBANK lève 390 000 euros auprès de BUSINESS ANGELS,01/06/2013,VETBIOBANK,VETBIOBANK
VITRINEMEDIA lève 1 million d’euros auprès d’investisseurs,01/06/2013,VITRINEMEDIA,VITRINEMEDIA
"VOXEET lève 1,09 million d’euros auprès de BUSINESS ANGELS",01/06/2013,VOXEET,VOXEET
WEBASSADORS lève 330 000 euros auprès de BUSINESS ANGELS,01/06/2013,WEBASSADORS,WEBASSADORS
